iter	Passed	Remaining
1356	37359	45233
1357	37385	45203
1358	37410	45173
1359	37438	45145
1360	37465	45117
1361	37505	45105
1362	37529	45074
1363	37556	45045
1364	37583	45017
1365	37610	44988
1366	37635	44958
1367	37661	44929
1368	37686	44899
1369	37712	44869
1370	37739	44841
1371	37764	44810
1372	37789	44780
1373	37814	44749
1374	37840	44720
1375	37865	44689
1376	37890	44660
1377	37917	44631
1378	37942	44601
1379	37969	44573
1380	37996	44544
1381	38022	44514
1382	38045	44482
1383	38072	44454
1384	38100	44427
1385	38125	44396
1386	38152	44369
1387	38180	44342
1388	38206	44313
1389	38232	44283
1390	38257	44253
1391	38285	44226
1392	38312	44198
1393	38337	44168
1394	38363	44139
1395	38392	44112
1396	38418	44083
1397	38442	44052
1398	38468	44023
1399	38495	43994
1400	38520	43964
1401	38546	43935
1402	38571	43905
1403	38598	43876
1404	38625	43848
1405	38651	43819
1406	38675	43788
1407	38702	43760
1408	38728	43731
1409	38753	43701
1410	38780	43672
1411	38814	43652
1412	38841	43624
1413	38867	43595
1414	38893	43565
1415	38919	43536
1416	38943	43505
1417	38968	43475
1418	38995	43447
1419	39020	43417
1420	39042	43384
1421	39068	43354
1422	39094	43325
1423	39121	43297
1424	39146	43267
1425	39172	43238
1426	39198	43209
1427	39225	43180
1428	39250	43150
1429	39274	43119
1430	39301	43092
1431	39329	43064
1432	39355	43035
1433	39381	43006
1434	39406	42976
1435	39433	42948
1436	39461	42921
1437	39486	42891
1438	39513	42863
1439	39540	42835
1440	39566	42806
1441	39593	42778
1442	39617	42747
1443	39643	42718
1444	39667	42687
1445	39693	42658
1446	39719	42628
1447	39745	42600
1448	39771	42571
1449	39798	42542
1450	39824	42514
1451	39853	42488
1452	39878	42458
1453	39903	42428
1454	39929	42399
1455	39954	42369
1456	39979	42339
1457	40004	42309
1458	40030	42279
1459	40056	42251
1460	40084	42224
1461	40117	42202
1462	40147	42177
1463	40173	42148
1464	40198	42119
1465	40223	42089
1466	40249	42060
1467	40275	42031
1468	40300	42001
1469	40326	41972
1470	40351	41942
1471	40378	41914
1472	40402	41883
1473	40426	41853
1474	40453	41824
1475	40480	41796
1476	40508	41770
1477	40532	41739
1478	40557	41709
1479	40583	41679
1480	40609	41651
1481	40636	41623
1482	40662	41594
1483	40688	41565
1484	40714	41536
1485	40741	41508
1486	40770	41483
1487	40799	41457
1488	40824	41427
1489	40851	41400
1490	40877	41370
1491	40904	41343
1492	40929	41313
1493	40955	41284
1494	40979	41253
1495	41007	41226
1496	41034	41199
1497	41059	41169
1498	41085	41140
1499	41110	41110
1500	41135	41080
1501	41160	41050
1502	41187	41023
1503	41213	40994
1504	41240	40966
1505	41267	40938
1506	41293	40909
1507	41321	40882
1508	41352	40858
1509	41377	40829
1510	41402	40800
1511	41431	40774
1512	41456	40743
1513	41507	40739
1514	41533	40711
1515	41568	40690
1516	41597	40664
1517	41629	40642
1518	41657	40615
1519	41688	40591
1520	41718	40566
1521	41745	40538
1522	41775	40514
1523	41807	40490
1524	41833	40462
1525	41862	40435
1526	41894	40413
1527	41944	40407
1528	41973	40380
1529	42007	40360
1530	42038	40336
1531	42067	40309
1532	42095	40283
1533	42127	40259
1534	42154	40231
1535	42181	40203
1536	42209	40177
1537	42236	40149
1538	42261	40119
1539	42288	40091
1540	42318	40066
1541	42347	40040
1542	42373	40012
1543	42401	39984
1544	42430	39959
1545	42458	39931
1546	42484	39902
1547	42510	39874
1548	42540	39848
1549	42565	39819
1550	42594	39792
1551	42622	39765
1552	42652	39741
1553	42682	39715
1554	42710	39688
1555	42737	39661
1556	42766	39634
1557	42815	39627
1558	42845	39602
1559	42872	39574
1560	42891	39538
1561	42918	39511
1562	42945	39483
1563	42971	39454
1564	42997	39425
1565	43025	39398
1566	43051	39369
1567	43076	39340
1568	43103	39311
1569	43130	39284
1570	43156	39255
1571	43182	39226
1572	43207	39197
1573	43236	39171
1574	43261	39141
1575	43287	39112
1576	43313	39083
1577	43340	39055
1578	43367	39028
1579	43392	38998
1580	43418	38969
1581	43444	38941
1582	43470	38912
1583	43497	38884
1584	43527	38859
1585	43561	38837
1586	43592	38813
1587	43622	38787
1588	43650	38760
1589	43676	38731
1590	43702	38703
1591	43729	38675
1592	43755	38646
1593	43781	38617
1594	43807	38588
1595	43832	38559
1596	43858	38530
1597	43883	38501
1598	43911	38473
1599	43942	38449
1600	43968	38420
1601	43994	38392
1602	44020	38363
1603	44047	38335
1604	44074	38307
1605	44122	38297
1606	44154	38274
1607	44182	38247
1608	44208	38218
1609	44236	38191
1610	44264	38164
1611	44291	38137
1612	44319	38110
1613	44347	38082
1614	44373	38054
1615	44399	38025
1616	44428	37998
1617	44455	37971
1618	44482	37943
1619	44511	37916
1620	44537	37888
1621	44562	37858
1622	44587	37829
1623	44614	37801
1624	44642	37774
1625	44668	37745
1626	44694	37716
1627	44720	37688
1628	44748	37660
1629	44773	37631
1630	44798	37602
1631	44825	37573
1632	44853	37547
1633	44881	37520
1634	44907	37491
1635	44931	37461
1636	44958	37433
1637	44985	37405
1638	45011	37376
